CookerStat, GenerateAssetRegistry=0.017405, Initialize=0.095744, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_BB8F8F954D8BECDFB__22C4865CFB40F9ED4178636E2B378D0D346093AA, StartTime=2016.04.07-23.41.43, HierarchicalDDC=, DataSize=977, Duration=2.935551, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId573A7C4D482FEE0F00F7D8B7A2D333ED_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D35A829C43F5953E459F40BAC537175B_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.07-23.41.58, Duration=230.982346, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D35A829C43F5953E459F40BAC5371__DEFB5BD758BE19AC347068532624A25B418BB280, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=1048841, Duration=5.277440, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId03763AC04D7C46EA130CAB82EFA9997F_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D35A829C43F5953E459F40BAC5371__096EDF8A468011EB5D9339286116DE56F9E51644, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=262407, Duration=4.662014, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D35A829C43F5953E459F40BAC5371__55C8E7BF5E0B4398ADD8D5B141C3D663E43CC839, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=65799, Duration=4.122369, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D35A829C43F5953E459F40BAC5371__AA309BA4907AF3B37E37912A12EC917C75BD7D14, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=16647, Duration=3.111679, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId03763AC04D7C46EA130CAB82EFA9997F_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_D35A829C43F5953E459F40BAC5371__3A05FFC64661CEF6872426C5FA933F1D5A18EBD2, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=7196, Duration=3.064316, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId573A7C4D482FEE0F00F7D8B7A2D333ED_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_967562934F58E732A0036A89C5298DC1_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.07-23.41.59, Duration=204.300491, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdF92D2211469F7BA0BFE28CBEF3538CE0_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_967562934F58E732A0036A89C5298__21FB20868561AD0779CE9FE2FAD7884C4F739AE9, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=1048841, Duration=5.747966, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionIdB6D82FFE4989D602558256800DEE6F3A_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_967562934F58E732A0036A89C5298__B1BEB18C54161257B9CCBC3EAB695AFC852E7C95, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=262407, Duration=5.058560, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
DDCTransactionId03763AC04D7C46EA130CAB82EFA9997F_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_967562934F58E732A0036A89C5298__F646DE5069B0C2272503CFEA8C5F432A06451CA1, StartTime=2016.04.07-23.41.59, HierarchicalDDC=, DataSize=65799, Duration=5.240831, RunGuid=RunIDB0CD88C14CF2F655F9619389117F3411
