CookerStat, GenerateAssetRegistry=0.196867, Initialize=0.847615, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BAB604274CBD8CB5C0E77DB141393188__1_0_13123_0, StartTime=2016.05.05-15.33.20, HierarchicalDDC=, DataSize=1425, Duration=3.577095, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_826643F446F9AE9EFB83DDB949DFE6CA__1_0_13123_0, StartTime=2016.05.05-15.33.20, HierarchicalDDC=, DataSize=347, Duration=1.719296, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9DAE5F1E436AD9C475762FADEE06F30F__1_0_13123_0, StartTime=2016.05.05-15.33.20, HierarchicalDDC=, DataSize=1109, Duration=2.685185, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9337EB834350D524740E35AD3BF2335B__1_0_13123_0, StartTime=2016.05.05-15.33.29, HierarchicalDDC=, DataSize=458, Duration=1.389056, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AFD3164E4DE0CDAC36B492A82C8CA339__1_0_13123_0, StartTime=2016.05.05-15.33.29, HierarchicalDDC=, DataSize=1425, Duration=2.585348, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_403EFD54460F215628AFCAB52991359F__1_0_13123_0, StartTime=2016.05.05-15.33.29, HierarchicalDDC=, DataSize=1035, Duration=2.601989, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_14ED9E7D46A5A9BBC479279F387946F0__1_0_13123_0, StartTime=2016.05.05-15.33.29, HierarchicalDDC=, DataSize=347, Duration=0.988930, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_288A6DE347B5DDD2656718B7B0EBD1EB__1_0_13123_0, StartTime=2016.05.05-15.33.34, HierarchicalDDC=, DataSize=458, Duration=15.904278, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_077F9E8645684F4DFFAF5990E05CB8C4__1_0_13123_0, StartTime=2016.05.05-15.33.34, HierarchicalDDC=, DataSize=1425, Duration=1.228545, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B2A5F26945C7B79106D6BB85501CD4E1__1_0_13123_0, StartTime=2016.05.05-15.33.34, HierarchicalDDC=, DataSize=1035, Duration=1.148675, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0AAAC3124B809A4462B0C4A3CC532753__1_0_13123_0, StartTime=2016.05.05-15.33.34, HierarchicalDDC=, DataSize=347, Duration=1.250304, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
