CookerStat, GenerateAssetRegistry=0.199936, Initialize=0.853762, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3CFC61F74D12BAB23812899D11E3FF36__1_0_13123_0, StartTime=2016.05.05-19.59.19, HierarchicalDDC=, DataSize=458, Duration=1.409028, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2285B38F4AC4DB8B8FD9769BD8DBF37C__1_0_13123_0, StartTime=2016.05.05-19.59.19, HierarchicalDDC=, DataSize=727, Duration=2.762753, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CB74DC4F44D0926B96B4C39CA2D59605__1_0_13123_0, StartTime=2016.05.05-19.59.19, HierarchicalDDC=, DataSize=437, Duration=1.149438, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EAC7D6504A739A436592ADA3AD0B3986__1_0_13123_0, StartTime=2016.05.05-19.59.19, HierarchicalDDC=, DataSize=347, Duration=1.255170, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A03E2DE846EF23DB997C26A607DC7281__1_0_13123_0, StartTime=2016.05.05-19.59.19, HierarchicalDDC=, DataSize=347, Duration=1.133312, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_671991544C3F143C594DAEB948DB64FF__1_0_13123_0, StartTime=2016.05.05-19.59.19, HierarchicalDDC=, DataSize=693, Duration=3.353603, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0E49114B44B3AE40B66DE2859FF2E846__1_0_13123_0, StartTime=2016.05.05-19.59.19, HierarchicalDDC=, DataSize=409, Duration=1.206271, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_08AA08184AFC6E94D4942DAEEDCA774F__1_0_13123_0, StartTime=2016.05.05-19.59.19, HierarchicalDDC=, DataSize=347, Duration=1.148418, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9BE5A0684C23EFFDFCBFFE8C08FC041A__1_0_13123_0, StartTime=2016.05.05-19.59.22, HierarchicalDDC=, DataSize=458, Duration=1.382913, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D32CA12F4C2508510B0816A1443A15E6__1_0_13123_0, StartTime=2016.05.05-19.59.22, HierarchicalDDC=, DataSize=651, Duration=1.189124, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3E2D7E7B448AD807E6435496930D407F__1_0_13123_0, StartTime=2016.05.05-19.59.22, HierarchicalDDC=, DataSize=437, Duration=1.316864, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B353F4744F6474815B90249CE269EAFF__1_0_13123_0, StartTime=2016.05.05-19.59.22, HierarchicalDDC=, DataSize=347, Duration=1.102082, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AC00C0E44E1DE2942494C6B52D69136C__1_0_13123_0, StartTime=2016.05.05-19.59.22, HierarchicalDDC=, DataSize=347, Duration=1.194499, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_30D148F7490BC7CF2ECF91AA334F3826__1_0_13123_0, StartTime=2016.05.05-19.59.22, HierarchicalDDC=, DataSize=693, Duration=0.966657, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
