CookerStat, GenerateAssetRegistry=0.016898, Initialize=0.089601, RunGuid=RunIDCB1383084B329A7B460FAEB5AF8CB0CA
DDCTransactionId2D2CEDE9456F6B0890E2E7A2C29C10C7_0, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_8E__A665B8508669C2D943614E4F40FF7408E91DE9B1, StartTime=2016.05.09-18.45.44, HierarchicalDDC=, DataSize=1993, Duration=5.561344, RunGuid=RunIDCB1383084B329A7B460FAEB5AF8CB0CA
DDCTransactionId92EEED1B4B306410271782AE7E78C622_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FF1A69F44ACCA762E42AD88EA98A69D__091CD3A71D3A519A16E5B7C0B54A0CF61DBB41EF, StartTime=2016.05.09-18.45.44, HierarchicalDDC=, DataSize=840, Duration=4.375298, RunGuid=RunIDCB1383084B329A7B460FAEB5AF8CB0CA
DDCTransactionId505AF7994DB766F0BC8138870D79687E_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_03544DEB4667CED51033479ECB7BEDFC__1_0_13123_0, StartTime=2016.05.09-18.45.45, HierarchicalDDC=, DataSize=458, Duration=2.855170, RunGuid=RunIDCB1383084B329A7B460FAEB5AF8CB0CA
DDCTransactionId2D2CEDE9456F6B0890E2E7A2C29C10C7_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3415B51A4E1EB70BD055B9B27EA6E1D1__1_0_13123_0, StartTime=2016.05.09-18.45.45, HierarchicalDDC=, DataSize=458, Duration=1.393154, RunGuid=RunIDCB1383084B329A7B460FAEB5AF8CB0CA
DDCTransactionId92EEED1B4B306410271782AE7E78C622_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3130B97C4F6E5649E1BD779225E03097__1_0_13123_0, StartTime=2016.05.09-18.45.45, HierarchicalDDC=, DataSize=458, Duration=1.054462, RunGuid=RunIDCB1383084B329A7B460FAEB5AF8CB0CA
DDCTransactionId2D2CEDE9456F6B0890E2E7A2C29C10C7_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4D8843FD4E14C76CC486BDB17EF5D67F__1_0_13123_0, StartTime=2016.05.09-18.45.45, HierarchicalDDC=, DataSize=589, Duration=2.950404, RunGuid=RunIDCB1383084B329A7B460FAEB5AF8CB0CA
DDCTransactionId92EEED1B4B306410271782AE7E78C622_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B59F195E43635AF3351E34A095299F6B__1_0_13123_0, StartTime=2016.05.09-18.45.45, HierarchicalDDC=, DataSize=347, Duration=1.154050, RunGuid=RunIDCB1383084B329A7B460FAEB5AF8CB0CA
DDCTransactionId505AF7994DB766F0BC8138870D79687E_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3CADCA344B3182907C7FD5B4AC3272F8__1_0_13123_0, StartTime=2016.05.09-18.45.45, HierarchicalDDC=, DataSize=693, Duration=0.826366, RunGuid=RunIDCB1383084B329A7B460FAEB5AF8CB0CA
DDCTransactionId92EEED1B4B306410271782AE7E78C622_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_51397965470CA8387AF62796443239CB__1_0_13123_0, StartTime=2016.05.09-18.45.45, HierarchicalDDC=, DataSize=533, Duration=1.286913, RunGuid=RunIDCB1383084B329A7B460FAEB5AF8CB0CA
DDCTransactionId505AF7994DB766F0BC8138870D79687E_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_95278B2D40EBF1EEFB3756921DDE4B87__1_0_13123_0, StartTime=2016.05.09-18.45.45, HierarchicalDDC=, DataSize=701, Duration=1.098752, RunGuid=RunIDCB1383084B329A7B460FAEB5AF8CB0CA
DDCTransactionId505AF7994DB766F0BC8138870D79687E_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1F81F4DE41B5F05A0AF991986D86312F__1_0_13123_0, StartTime=2016.05.09-18.45.45, HierarchicalDDC=, DataSize=779, Duration=0.961024, RunGuid=RunIDCB1383084B329A7B460FAEB5AF8CB0CA
